CrossRoad -4715.0:4735.0
CrossRoad 3670.0:4735.0
CrossRoad 3670.0:-4805.0
CrossRoad 295.0:3100.0
CrossRoad 3670.0:3100.0
CrossRoad 2125.0:3100.0
FourLaneRoad 325.0:3100.0 2095.0:3100.0
FourLaneRoad 2155.0:3100.0 3640.0:3100.0
FourLaneRoad 2125.0:3820.0 2125.0:3130.0
CrossRoad 2125.0:3850.0
CrossRoad 3670.0:3850.0
FourLaneRoad 3670.0:4705.0 3670.0:3880.0
FourLaneRoad 3670.0:3820.0 3670.0:3130.0
CrossRoad 295.0:-755.0
FourLaneRoad 295.0:3070.0 295.0:-725.0
CrossRoad -4715.0:-755.0
FourLaneRoad 265.0:-755.0 -4685.0:-755.0
CrossRoad 835.0:-4805.0
FourLaneRoad 3640.0:-4805.0 865.0:-4805.0
CrossRoad 835.0:-755.0
FourLaneRoad 805.0:-755.0 325.0:-755.0
FourLaneRoad 865.0:-755.0 3640.0:-755.0
CrossRoad 3670.0:-755.0
FourLaneRoad 3670.0:3070.0 3670.0:-725.0
CrossRoad 3235.0:3850.0
FourLaneRoad 2155.0:3850.0 3205.0:3850.0
FourLaneRoad 3265.0:3850.0 3640.0:3850.0
FourLaneRoad 3235.0:3880.0 3235.0:4705.0
CrossRoad 3235.0:4735.0
FourLaneRoad 3265.0:4735.0 3640.0:4735.0
CrossRoad -185.0:3100.0
FourLaneRoad 265.0:3100.0 -155.0:3100.0
FourLaneRoad -185.0:3130.0 -185.0:4705.0
CrossRoad -185.0:4735.0
FourLaneRoad -4685.0:4735.0 -215.0:4735.0
FourLaneRoad -155.0:4735.0 3205.0:4735.0
CrossRoad 835.0:-4475.0
FourLaneRoad 835.0:-4775.0 835.0:-4505.0
FourLaneRoad 805.0:-4475.0 -890.0:-4475.0
CrossRoad -920.0:-4475.0
FourLaneRoad -920.0:-4445.0 -920.0:-4280.0
CrossRoad -920.0:-4250.0
FourLaneRoad -920.0:-4220.0 -920.0:-4055.0
CrossRoad -920.0:-4025.0
FourLaneRoad -890.0:-4025.0 805.0:-4025.0
CrossRoad 835.0:-4025.0
FourLaneRoad 835.0:-4445.0 835.0:-4055.0
FourLaneRoad -950.0:-4250.0 -4685.0:-4250.0
CrossRoad -4715.0:-4250.0
FourLaneRoad -4715.0:-4220.0 -4715.0:-785.0
FourLaneRoad -215.0:3100.0 -4685.0:3100.0
CrossRoad -4715.0:3100.0
FourLaneRoad -4715.0:-725.0 -4715.0:3070.0
FourLaneRoad -4715.0:3130.0 -4715.0:4705.0
CrossRoad 835.0:-3800.0
FourLaneRoad 835.0:-3995.0 835.0:-3830.0
CrossRoad 835.0:-3185.0
FourLaneRoad 835.0:-3770.0 835.0:-3215.0
FourLaneRoad 835.0:-3155.0 835.0:-785.0
FourLaneRoad 865.0:-3185.0 3640.0:-3185.0
FourLaneRoad 865.0:-3800.0 3640.0:-3800.0
CrossRoad 3670.0:-3800.0
FourLaneRoad 3670.0:-3830.0 3670.0:-4775.0
CrossRoad 3670.0:-3185.0
FourLaneRoad 3670.0:-785.0 3670.0:-3155.0
FourLaneRoad 3670.0:-3215.0 3670.0:-3770.0
NetworkPoint 3685.0:-3275.0 -> 3685.0:-3230.0
NetworkPoint 2560.0:-4790.0 -> 2515.0:-4790.0
NetworkPoint -200.0:3220.0 -> -200.0:3175.0
NetworkPoint -3275.0:3115.0 -> -3320.0:3115.0
NetworkPoint 1225.0:3085.0 -> 1270.0:3085.0
NetworkPoint -1175.0:-740.0 -> -1220.0:-740.0
NetworkPoint 1720.0:-3815.0 -> 1765.0:-3815.0
NetworkPoint -2645.0:3115.0 -> -2690.0:3115.0
NetworkPoint -170.0:4735.0 -> -155.0:4720.0
NetworkPoint 55.0:-4490.0 -> 100.0:-4490.0
NetworkPoint -3785.0:3085.0 -> -3740.0:3085.0
NetworkPoint 175.0:3115.0 -> 130.0:3115.0
NetworkPoint -4700.0:2245.0 -> -4700.0:2290.0
NetworkPoint -1475.0:4750.0 -> -1520.0:4750.0
NetworkPoint 1090.0:-4820.0 -> 1135.0:-4820.0
NetworkPoint 1750.0:-3170.0 -> 1705.0:-3170.0
NetworkPoint -3515.0:-4235.0 -> -3560.0:-4235.0
NetworkPoint 685.0:-4490.0 -> 730.0:-4490.0
NetworkPoint -3560.0:-4265.0 -> -3515.0:-4265.0
NetworkPoint -305.0:-4040.0 -> -260.0:-4040.0
NetworkPoint -4715.0:4735.0 -> -4730.0:4705.0
NetworkPoint -4700.0:4120.0 -> -4700.0:4165.0
NetworkPoint 280.0:685.0 -> 280.0:640.0
NetworkPoint 310.0:-545.0 -> 310.0:-500.0
NetworkPoint 3535.0:3835.0 -> 3580.0:3835.0
NetworkPoint -4730.0:-1280.0 -> -4730.0:-1325.0
NetworkPoint -4700.0:-2510.0 -> -4700.0:-2465.0
NetworkPoint 1720.0:-4820.0 -> 1765.0:-4820.0
NetworkPoint 850.0:-2660.0 -> 850.0:-2615.0
NetworkPoint -905.0:-4220.0 -> -905.0:-4175.0
NetworkPoint 3655.0:10.0 -> 3655.0:-35.0
NetworkPoint 3685.0:-1220.0 -> 3685.0:-1175.0
NetworkPoint 1675.0:4750.0 -> 1630.0:4750.0
NetworkPoint -4730.0:685.0 -> -4730.0:640.0
NetworkPoint -4700.0:-545.0 -> -4700.0:-500.0
NetworkPoint -4370.0:-770.0 -> -4325.0:-770.0
NetworkPoint -4730.0:4435.0 -> -4730.0:4390.0
NetworkPoint 1300.0:-3785.0 -> 1255.0:-3785.0
NetworkPoint -1850.0:-770.0 -> -1805.0:-770.0
NetworkPoint -545.0:-740.0 -> -590.0:-740.0
NetworkPoint 205.0:4720.0 -> 250.0:4720.0
NetworkPoint 3685.0:-4100.0 -> 3685.0:-4055.0
NetworkPoint 3370.0:-740.0 -> 3325.0:-740.0
NetworkPoint 3430.0:-3200.0 -> 3475.0:-3200.0
NetworkPoint 850.0:-2570.0 -> 850.0:-2525.0
NetworkPoint -620.0:3115.0 -> -665.0:3115.0
NetworkPoint -2015.0:3115.0 -> -2060.0:3115.0
NetworkPoint -725.0:-4010.0 -> -770.0:-4010.0
NetworkPoint 3115.0:3865.0 -> 3070.0:3865.0
NetworkPoint -95.0:-4010.0 -> -140.0:-4010.0
NetworkPoint -905.0:-4310.0 -> -905.0:-4280.0
NetworkPoint 2785.0:3085.0 -> 2830.0:3085.0
NetworkPoint 280.0:640.0 -> 280.0:595.0
NetworkPoint 310.0:-590.0 -> 310.0:-545.0
NetworkPoint -2390.0:3085.0 -> -2345.0:3085.0
NetworkPoint 2110.0:3145.0 -> 2110.0:3130.0
NetworkPoint 1270.0:-770.0 -> 1315.0:-770.0
NetworkPoint 3685.0:-1265.0 -> 3685.0:-1220.0
NetworkPoint 3655.0:-35.0 -> 3655.0:-80.0
NetworkPoint 1735.0:3115.0 -> 1690.0:3115.0
NetworkPoint -4130.0:4750.0 -> -4175.0:4750.0
NetworkPoint 2530.0:-770.0 -> 2575.0:-770.0
NetworkPoint 310.0:2380.0 -> 310.0:2425.0
NetworkPoint -2255.0:-4235.0 -> -2300.0:-4235.0
NetworkPoint -4730.0:4390.0 -> -4730.0:4345.0
NetworkPoint -1985.0:4720.0 -> -1940.0:4720.0
NetworkPoint 2980.0:-4820.0 -> 3025.0:-4820.0
NetworkPoint -3695.0:-740.0 -> -3740.0:-740.0
NetworkPoint -4700.0:2380.0 -> -4700.0:2425.0
NetworkPoint 1105.0:3115.0 -> 1060.0:3115.0
NetworkPoint 3685.0:-4145.0 -> 3685.0:-4100.0
NetworkPoint -725.0:4720.0 -> -680.0:4720.0
NetworkPoint 805.0:-770.0 -> 820.0:-755.0 820.0:-785.0 865.0:-770.0
NetworkPoint 850.0:-2615.0 -> 850.0:-2570.0
NetworkPoint -4700.0:-500.0 -> -4700.0:-455.0
NetworkPoint -4730.0:730.0 -> -4730.0:685.0
NetworkPoint 1930.0:-4790.0 -> 1885.0:-4790.0
NetworkPoint -3905.0:3115.0 -> -3950.0:3115.0
NetworkPoint -3110.0:-770.0 -> -3065.0:-770.0
NetworkPoint 910.0:-3200.0 -> 955.0:-3200.0
NetworkPoint 595.0:3085.0 -> 640.0:3085.0
NetworkPoint 535.0:-4010.0 -> 490.0:-4010.0
NetworkPoint -1805.0:-740.0 -> -1850.0:-740.0
NetworkPoint 3670.0:-740.0 -> 3685.0:-725.0
NetworkPoint 3685.0:-1355.0 -> 3685.0:-1310.0
NetworkPoint 3655.0:-125.0 -> 3655.0:-170.0
NetworkPoint 3655.0:2800.0 -> 3655.0:2755.0
NetworkPoint 3685.0:1570.0 -> 3685.0:1615.0
NetworkPoint -1760.0:3085.0 -> -1715.0:3085.0
NetworkPoint 3685.0:-1310.0 -> 3685.0:-1265.0
NetworkPoint 3655.0:-80.0 -> 3655.0:-125.0
NetworkPoint 3460.0:3115.0 -> 3415.0:3115.0
NetworkPoint 1120.0:-3170.0 -> 1075.0:-3170.0
NetworkPoint 3280.0:3865.0 -> 3265.0:3865.0
NetworkPoint -1130.0:3085.0 -> -1085.0:3085.0
NetworkPoint 2095.0:4720.0 -> 2140.0:4720.0
NetworkPoint -4145.0:-4235.0 -> -4190.0:-4235.0
NetworkPoint -4190.0:-4265.0 -> -4145.0:-4265.0
NetworkPoint 310.0:2335.0 -> 310.0:2380.0
NetworkPoint 2605.0:3835.0 -> 2650.0:3835.0
NetworkPoint 3655.0:2890.0 -> 3655.0:2845.0
NetworkPoint 3685.0:1660.0 -> 3685.0:1705.0
NetworkPoint 1045.0:4750.0 -> 1000.0:4750.0
NetworkPoint -4700.0:-590.0 -> -4700.0:-545.0
NetworkPoint -4730.0:640.0 -> -4730.0:595.0
NetworkPoint -4700.0:2335.0 -> -4700.0:2380.0
NetworkPoint 3685.0:-4190.0 -> 3685.0:-4145.0
NetworkPoint 3325.0:-3785.0 -> 3280.0:-3785.0
NetworkPoint -2870.0:4750.0 -> -2915.0:4750.0
NetworkPoint 820.0:-3305.0 -> 820.0:-3350.0
NetworkPoint 3685.0:3535.0 -> 3685.0:3580.0
NetworkPoint -4505.0:4720.0 -> -4460.0:4720.0
NetworkPoint -4700.0:4210.0 -> -4700.0:4255.0
NetworkPoint -2480.0:-770.0 -> -2435.0:-770.0
NetworkPoint -4730.0:-4115.0 -> -4730.0:-4160.0
NetworkPoint -3245.0:4720.0 -> -3200.0:4720.0
NetworkPoint 2800.0:-3200.0 -> 2845.0:-3200.0
NetworkPoint 2740.0:-740.0 -> 2695.0:-740.0
NetworkPoint -455.0:-770.0 -> -410.0:-770.0
NetworkPoint -365.0:-4460.0 -> -410.0:-4460.0
NetworkPoint -2435.0:-740.0 -> -2480.0:-740.0
NetworkPoint 2485.0:3865.0 -> 2440.0:3865.0
NetworkPoint 3655.0:3850.0 -> 3640.0:3865.0
NetworkPoint 3685.0:3400.0 -> 3685.0:3445.0
NetworkPoint 850.0:-4445.0 -> 850.0:-4400.0
NetworkPoint 820.0:-3215.0 -> 820.0:-3260.0
NetworkPoint -200.0:3265.0 -> -200.0:3220.0
NetworkPoint 3655.0:-3830.0 -> 3655.0:-3875.0
NetworkPoint 1090.0:-3815.0 -> 1135.0:-3815.0
NetworkPoint 2155.0:3085.0 -> 2200.0:3085.0
NetworkPoint 1855.0:3085.0 -> 1900.0:3085.0
NetworkPoint 310.0:2290.0 -> 310.0:2335.0
NetworkPoint -3020.0:3085.0 -> -2975.0:3085.0
NetworkPoint -4415.0:3085.0 -> -4370.0:3085.0
NetworkPoint 2350.0:-3815.0 -> 2395.0:-3815.0
NetworkPoint 3070.0:4750.0 -> 3025.0:4750.0
NetworkPoint 3655.0:2845.0 -> 3655.0:2800.0
NetworkPoint 3685.0:1615.0 -> 3685.0:1660.0
NetworkPoint -2105.0:4750.0 -> -2150.0:4750.0
NetworkPoint 3655.0:-1955.0 -> 3655.0:-2000.0
NetworkPoint -4700.0:-635.0 -> -4700.0:-590.0
NetworkPoint -4730.0:595.0 -> -4730.0:550.0
NetworkPoint 1900.0:-770.0 -> 1945.0:-770.0
NetworkPoint -845.0:4750.0 -> -890.0:4750.0
NetworkPoint 2380.0:-3170.0 -> 2335.0:-3170.0
NetworkPoint 820.0:-3350.0 -> 820.0:-3395.0
NetworkPoint -2885.0:-4235.0 -> -2930.0:-4235.0
NetworkPoint 3685.0:3490.0 -> 3685.0:3535.0
NetworkPoint 3655.0:-1910.0 -> 3655.0:-1955.0
NetworkPoint -2930.0:-4265.0 -> -2885.0:-4265.0
NetworkPoint 325.0:-4040.0 -> 370.0:-4040.0
NetworkPoint 3655.0:-3965.0 -> 3655.0:-4010.0
NetworkPoint -4700.0:4165.0 -> -4700.0:4210.0
NetworkPoint -4730.0:-4160.0 -> -4730.0:-4205.0
NetworkPoint -2615.0:4720.0 -> -2570.0:4720.0
NetworkPoint -215.0:4750.0 -> -260.0:4750.0
NetworkPoint 2350.0:-4820.0 -> 2395.0:-4820.0
NetworkPoint -4325.0:-740.0 -> -4370.0:-740.0
NetworkPoint 265.0:-4460.0 -> 220.0:-4460.0
NetworkPoint 175.0:-770.0 -> 220.0:-770.0
NetworkPoint -200.0:3175.0 -> -200.0:3130.0
NetworkPoint 1300.0:-4790.0 -> 1255.0:-4790.0
NetworkPoint -4535.0:3115.0 -> -4580.0:3115.0
NetworkPoint -4730.0:-1190.0 -> -4730.0:-1235.0
NetworkPoint -4700.0:-2420.0 -> -4700.0:-2375.0
NetworkPoint -3740.0:-770.0 -> -3695.0:-770.0
NetworkPoint 220.0:-740.0 -> 175.0:-740.0
NetworkPoint 1930.0:-3785.0 -> 1885.0:-3785.0
NetworkPoint -1295.0:3115.0 -> -1340.0:3115.0
NetworkPoint -410.0:-4460.0 -> -455.0:-4460.0
NetworkPoint -500.0:-770.0 -> -455.0:-770.0
NetworkPoint 2440.0:3865.0 -> 2395.0:3865.0
NetworkPoint -4730.0:1495.0 -> -4730.0:1450.0
NetworkPoint -4700.0:265.0 -> -4700.0:310.0
NetworkPoint 1555.0:4720.0 -> 1600.0:4720.0
NetworkPoint -455.0:-740.0 -> -500.0:-740.0
NetworkPoint 2440.0:-3815.0 -> 2485.0:-3815.0
NetworkPoint 505.0:4750.0 -> 460.0:4750.0
NetworkPoint 280.0:1675.0 -> 280.0:1630.0
NetworkPoint 310.0:445.0 -> 310.0:490.0
NetworkPoint -3065.0:3085.0 -> -3020.0:3085.0
NetworkPoint 3655.0:4660.0 -> 3655.0:4615.0
NetworkPoint -4670.0:4750.0 -> -4685.0:4750.0
NetworkPoint 850.0:-1670.0 -> 850.0:-1625.0
NetworkPoint -1580.0:-4265.0 -> -1535.0:-4265.0
NetworkPoint 2470.0:-3170.0 -> 2425.0:-3170.0
NetworkPoint -200.0:4075.0 -> -200.0:4030.0
NetworkPoint 2155.0:3115.0 -> 
NetworkPoint -1535.0:-4235.0 -> -1580.0:-4235.0
NetworkPoint -125.0:4750.0 -> -155.0:4750.0
NetworkPoint 2440.0:-4820.0 -> 2485.0:-4820.0
NetworkPoint -1265.0:4720.0 -> -1220.0:4720.0
NetworkPoint 280.0:1540.0 -> 280.0:1495.0
NetworkPoint 310.0:310.0 -> 310.0:355.0
NetworkPoint 850.0:-4550.0 -> 850.0:-4505.0
NetworkPoint 430.0:3115.0 -> 385.0:3115.0
NetworkPoint -3650.0:-770.0 -> -3605.0:-770.0
NetworkPoint 2020.0:-3785.0 -> 1975.0:-3785.0
NetworkPoint 1690.0:3115.0 -> 1645.0:3115.0
NetworkPoint -200.0:4165.0 -> -200.0:4120.0
NetworkPoint 2650.0:-4790.0 -> 2605.0:-4790.0
NetworkPoint -2345.0:-740.0 -> -2390.0:-740.0
NetworkPoint -170.0:3805.0 -> -170.0:3850.0
NetworkPoint -2390.0:-770.0 -> -2345.0:-770.0
NetworkPoint 1315.0:3085.0 -> 1360.0:3085.0
NetworkPoint 820.0:-4235.0 -> 820.0:-4280.0
NetworkPoint -2555.0:3115.0 -> -2600.0:3115.0
NetworkPoint -3740.0:-740.0 -> -3785.0:-740.0
NetworkPoint 3655.0:4615.0 -> 3655.0:4570.0
NetworkPoint 850.0:-1715.0 -> 850.0:-1670.0
NetworkPoint 820.0:-2360.0 -> 820.0:-2405.0
NetworkPoint 850.0:-3590.0 -> 850.0:-3545.0
NetworkPoint -200.0:4030.0 -> -200.0:3985.0
NetworkPoint -410.0:3085.0 -> -365.0:3085.0
NetworkPoint 2815.0:4720.0 -> 2860.0:4720.0
NetworkPoint -4730.0:-3170.0 -> -4730.0:-3215.0
NetworkPoint 3505.0:3085.0 -> 3550.0:3085.0
NetworkPoint 1180.0:-3815.0 -> 1225.0:-3815.0
NetworkPoint -170.0:3895.0 -> -170.0:3940.0
NetworkPoint -4325.0:3085.0 -> -4280.0:3085.0
NetworkPoint 1765.0:4750.0 -> 1720.0:4750.0
NetworkPoint -620.0:-4490.0 -> -575.0:-4490.0
NetworkPoint -3410.0:4750.0 -> -3455.0:4750.0
NetworkPoint 3250.0:-770.0 -> 3295.0:-770.0
NetworkPoint 850.0:-4595.0 -> 850.0:-4550.0
NetworkPoint 3655.0:4705.0 -> 3655.0:4660.0
NetworkPoint 595.0:-770.0 -> 640.0:-770.0
NetworkPoint 3415.0:3115.0 -> 3370.0:3115.0
NetworkPoint 2650.0:-3785.0 -> 2605.0:-3785.0
NetworkPoint -2150.0:4750.0 -> -2195.0:4750.0
NetworkPoint -1760.0:-770.0 -> -1715.0:-770.0
NetworkPoint 2200.0:-740.0 -> 2155.0:-740.0
NetworkPoint 2260.0:-3200.0 -> 2305.0:-3200.0
NetworkPoint -3920.0:4720.0 -> -3875.0:4720.0
NetworkPoint 3460.0:-740.0 -> 3415.0:-740.0
NetworkPoint 3520.0:-3200.0 -> 3565.0:-3200.0
NetworkPoint 3685.0:2560.0 -> 3685.0:2605.0
NetworkPoint 3655.0:4570.0 -> 3655.0:4525.0
NetworkPoint -3185.0:3115.0 -> -3230.0:3115.0
NetworkPoint 820.0:-2405.0 -> 820.0:-2450.0
NetworkPoint 850.0:-3635.0 -> 850.0:-3590.0
NetworkPoint 3445.0:4720.0 -> 3490.0:4720.0
NetworkPoint -1085.0:-740.0 -> -1130.0:-740.0
NetworkPoint -4730.0:-3215.0 -> -4730.0:-3260.0
NetworkPoint 1810.0:-3815.0 -> 1855.0:-3815.0
NetworkPoint -170.0:3850.0 -> -170.0:3895.0
NetworkPoint 850.0:-1760.0 -> 850.0:-1715.0
NetworkPoint -3695.0:3085.0 -> -3650.0:3085.0
NetworkPoint 265.0:3115.0 -> 220.0:3115.0
NetworkPoint 3685.0:-320.0 -> 3685.0:-275.0
NetworkPoint 3655.0:910.0 -> 3655.0:865.0
NetworkPoint 1840.0:-3170.0 -> 1795.0:-3170.0
NetworkPoint -3425.0:-4235.0 -> -3470.0:-4235.0
NetworkPoint 850.0:-4640.0 -> 850.0:-4595.0
NetworkPoint -3470.0:-4265.0 -> -3425.0:-4265.0
NetworkPoint -1520.0:4750.0 -> -1565.0:4750.0
NetworkPoint 3100.0:-3170.0 -> 3055.0:-3170.0
NetworkPoint -4715.0:4720.0 -> -4730.0:4705.0
NetworkPoint -2165.0:-4235.0 -> -2210.0:-4235.0
NetworkPoint -4730.0:-4220.0 -> 
NetworkPoint 820.0:-2315.0 -> 820.0:-2360.0
NetworkPoint 850.0:-3545.0 -> 850.0:-3500.0
NetworkPoint 1810.0:-4820.0 -> 1855.0:-4820.0
NetworkPoint 640.0:-4490.0 -> 685.0:-4490.0
NetworkPoint 3685.0:2470.0 -> 3685.0:2515.0
NetworkPoint -1895.0:4720.0 -> -1850.0:4720.0
NetworkPoint -2840.0:-4265.0 -> -2795.0:-4265.0
NetworkPoint 3070.0:-4820.0 -> 3115.0:-4820.0
NetworkPoint 3025.0:4750.0 -> 2980.0:4750.0
NetworkPoint 3685.0:2515.0 -> 3685.0:2560.0
NetworkPoint -935.0:-4055.0 -> -935.0:-4100.0
NetworkPoint 1390.0:-3785.0 -> 1345.0:-3785.0
NetworkPoint 3655.0:-1055.0 -> 3655.0:-1100.0
NetworkPoint 1060.0:3115.0 -> 1015.0:3115.0
NetworkPoint 1855.0:-770.0 -> 1900.0:-770.0
NetworkPoint -4730.0:-3305.0 -> -4730.0:-3350.0
NetworkPoint -2525.0:4720.0 -> -2480.0:4720.0
NetworkPoint -170.0:3760.0 -> -170.0:3805.0
NetworkPoint -4415.0:-770.0 -> -4370.0:-770.0
NetworkPoint 625.0:-4010.0 -> 580.0:-4010.0
NetworkPoint 295.0:4720.0 -> 340.0:4720.0
NetworkPoint 3685.0:-410.0 -> 3685.0:-365.0
NetworkPoint 3655.0:820.0 -> 3655.0:775.0
NetworkPoint 820.0:-4280.0 -> 820.0:-4325.0
NetworkPoint -4730.0:-3260.0 -> -4730.0:-3305.0
NetworkPoint 805.0:-740.0 -> 760.0:-740.0
NetworkPoint 865.0:-3200.0 -> 910.0:-3200.0
NetworkPoint -4370.0:-740.0 -> -4415.0:-740.0
NetworkPoint -665.0:3115.0 -> -710.0:3115.0
NetworkPoint 1390.0:-4790.0 -> 1345.0:-4790.0
NetworkPoint 220.0:-4460.0 -> 175.0:-4460.0
NetworkPoint 130.0:-770.0 -> 175.0:-770.0
NetworkPoint 3685.0:-365.0 -> 3685.0:-320.0
NetworkPoint 3655.0:865.0 -> 3655.0:820.0
NetworkPoint -770.0:-4010.0 -> -815.0:-4010.0
NetworkPoint 3220.0:4345.0 -> 3220.0:4300.0
NetworkPoint 3070.0:3865.0 -> 3025.0:3865.0
NetworkPoint -1040.0:3085.0 -> -995.0:3085.0
